name;ts;value
mio_cola;1562098440;-8396801.326530613
mio_cola;1562101380;-8401162.326530613
mio_cola;1562104320;-8401113.42857143
mio_cola;1562107260;-8401135.673469387
mio_cola;1562110200;-8401206.530612245
mio_cola;1562113140;-8401313.0
mio_cola;1562116080;-8401394.857142856
mio_cola;1562119020;-8401496.125
mio_cola;1562121960;-8401611.040816326
mio_cola;1562124900;-8401727.42857143
mio_cola;1562127840;-8401845.081632653
mio_cola;1562130780;-8401957.1875
mio_cola;1562133720;-8402064.395833334
mio_cola;1562136660;-8402064.387755102
mio_cola;1562139600;-8402019.42857143
mio_cola;1562142540;-8402014.551020408
mio_cola;1562145480;-8402001.291666666
mio_cola;1562148420;-8402022.346938776
mio_cola;1562151360;-8402049.354166666
mio_cola;1562154300;-8402038.083333334
mio_cola;1562157240;-8402047.916666666
mio_cola;1562160180;-8402028.75510204
mio_cola;1562163120;-8402014.551020408
mio_cola;1562166060;-8402006.102040816
mio_cola;1562169000;-8401988.591836736
mio_cola;1562171940;-8401953.020408163
mio_cola;1562174880;-8401925.285714285
mio_cola;1562177820;-8401907.489795918
mio_cola;1562180760;-8401863.040816326
mio_cola;1562183700;-8401813.81632653
mio_cola;1562186640;-8401764.734693877
mio_cola;1562189580;-8401713.604166666
mio_cola;1562192520;-8401737.06122449
mio_cola;1562195460;-8401797.285714285
mio_cola;1562198400;-8401865.18367347
mio_cola;1562201340;-8401931.93877551
mio_cola;1562204280;-8401991.081632653
mio_cola;1562207220;-8402060.469387755
mio_cola;1562210160;-8402133.1875
mio_cola;1562213100;-8402200.24489796
mio_cola;1562216040;-8402268.0
mio_cola;1562218980;-8402334.346938776
mio_cola;1562221920;-8402389.387755102
mio_cola;1562224860;-8402386.959183674
mio_cola;1562227800;-8402316.346938776
mio_cola;1562230740;-8402271.4375
mio_cola;1562233680;-8402272.265306123
mio_cola;1562236620;-8402252.224489795
mio_cola;1562239560;-8402220.979591837
mio_cola;1562242500;-8402219.530612245
mio_cola;1562245440;-8402219.367346939
mio_cola;1562248380;-8402200.42857143
mio_cola;1562251320;-8402212.204081632
mio_cola;1562254260;-8402197.75510204
mio_cola;1562257200;-8402216.122448979
mio_cola;1562260140;-8402219.06122449
mio_cola;1562263080;-8402212.673469387
mio_cola;1562266020;-8402206.693877552
mio_cola;1562268960;-8402238.551020408
mio_cola;1562271900;-8402267.265306123
mio_cola;1562274840;-8402292.0
mio_cola;1562277780;-8402312.591836736
mio_cola;1562280720;-8402325.612244898
mio_cola;1562283660;-8402352.714285715
mio_cola;1562286600;-8402380.714285715
mio_cola;1562289540;-8402407.918367347
mio_cola;1562292480;-8402455.42857143
mio_cola;1562295420;-8402491.9375
mio_cola;1562298360;-8402522.714285715
mio_cola;1562301300;-8402545.612244898
mio_cola;1562304240;-8402571.489795918
mio_cola;1562307180;-8402567.8125
mio_cola;1562310120;-8402521.040816326
mio_cola;1562313060;-8402546.857142856
mio_cola;1562316000;-8402545.367346939
mio_cola;1562318940;-8402529.958333334
mio_cola;1562321880;-8402521.408163264
mio_cola;1562324820;-8402517.170212766
mio_cola;1562327760;-8402525.489795918
mio_cola;1562330700;-8402537.93478261
mio_cola;1562333640;-8402543.326530613
mio_cola;1562336580;-8402548.632653061
mio_cola;1562339520;-8402549.387755102
mio_cola;1562342460;-8402555.958333334
mio_cola;1562345400;-8402552.142857144
mio_cola;1562348340;-8402547.18367347
mio_cola;1562351280;-8419507.448979592
mio_cola;1562354220;-8420201.18367347
mio_cola;1562357160;-8420197.530612245
mio_cola;1562360100;-8420179.877551021
mio_cola;1562363040;-8420134.791666666
mio_cola;1562365980;-8420166.612244898
mio_cola;1562368920;-8420183.145833334
mio_cola;1562371860;-8420214.408163264
mio_cola;1562374800;-8420256.979591837
mio_cola;1562377740;-8420306.836734693
mio_cola;1562380680;-8420332.041666666
mio_cola;1562383620;-8420357.108695652
mio_cola;1562386560;-8420384.795918368
mio_cola;1562389500;-8420395.897959184
mio_cola;1562392440;-8420402.326530613
mio_cola;1562395380;-8420419.255319148
mio_cola;1562398320;-8420437.857142856
mio_cola;1562401260;-8420454.591836736
mio_cola;1562404200;-8420449.0625
mio_cola;1562407140;-8420443.020833334
mio_cola;1562410080;-8420444.612244898
mio_cola;1562413020;-8420424.897959184
mio_cola;1562415960;-8420409.367346939
mio_cola;1562418900;-8420394.102040816
mio_cola;1562421840;-8420378.857142856
mio_cola;1562424780;-8420372.102040816
mio_cola;1562427720;-8420387.4375
mio_cola;1562430660;-8420402.93877551
mio_cola;1562433600;-8420421.142857144
mio_cola;1562436540;-8420436.42857143
mio_cola;1562439480;-8420440.306122448
mio_cola;1562442420;-8420449.5
mio_cola;1562445360;-8420448.285714285
mio_cola;1562448300;-8420451.833333334
mio_cola;1562451240;-8420442.877551021
mio_cola;1562454180;-8420447.142857144
mio_cola;1562457120;-8420441.020408163
mio_cola;1562460060;-8420437.57142857
mio_cola;1562463000;-8420443.93877551
mio_cola;1562465940;-8420454.918367347
mio_cola;1562468880;-8420465.551020408
mio_cola;1562471820;-8420470.387755102
mio_cola;1562474760;-8420470.530612245
mio_cola;1562477700;-8420500.959183674
mio_cola;1562480640;-8420491.93877551
mio_cola;1562483580;-8420493.285714285
mio_cola;1562486520;-8420483.204081632
mio_cola;1562489460;-8420546.978723405
mio_cola;1562492400;-8420525.1875
mio_cola;1562495340;-8420465.163265307
mio_cola;1562498280;-8420387.510204082
mio_cola;1562501220;-8420402.795918368
mio_cola;1562504160;-8420473.93877551
mio_cola;1562507100;-8420469.326530613
mio_cola;1562510040;-8420474.489795918
mio_cola;1562512980;-8420463.729166666
mio_cola;1562515920;-8420485.897959184
mio_cola;1562518860;-8420471.163265307
mio_cola;1562521800;-8420444.979591837
mio_cola;1562524740;-8420395.530612245
mio_cola;1562527680;-8420455.224489795
mio_cola;1562530620;-8420374.204081632
mio_cola;1562533560;-8420276.734693877
mio_cola;1562536500;-8420186.282608695
mio_cola;1562539440;-8420086.897959184
mio_cola;1562542380;-8420013.81632653
mio_cola;1562545320;-8420006.795918368
mio_cola;1562548260;-8419975.75510204
mio_cola;1562551200;-8419966.897959184
mio_cola;1562554140;-8419954.229166666
mio_cola;1562557080;-8419958.897959184
mio_cola;1562560020;-8420093.693877552
mio_cola;1562562960;-8420272.346938776
mio_cola;1562565900;-8420383.265306123
mio_cola;1562568840;-8420488.102040816
mio_cola;1562571780;-8420588.632653061
mio_cola;1562574720;-8420667.0
mio_cola;1562577660;-8420681.510638298
mio_cola;1562580600;-8420706.625
mio_cola;1562583540;-8420771.591836736
mio_cola;1562586480;-8420824.06122449
mio_cola;1562589420;-8420846.040816326
mio_cola;1562592360;-8420856.367346939
mio_cola;1562595300;-8420860.081632653
mio_cola;1562598240;-8420849.57142857
mio_cola;1562601180;-8420853.163265307
mio_cola;1562604120;-8420784.897959184
mio_cola;1562607060;-8420778.224489795
mio_cola;1562610000;-8420756.489795918
mio_cola;1562612940;-8420707.530612245
mio_cola;1562615880;-8420689.897959184
mio_cola;1562618820;-8420685.714285715
mio_cola;1562621760;-8420707.083333334
mio_cola;1562624700;-8420738.204081632
mio_cola;1562627640;-8420753.734693877
mio_cola;1562630580;-8420761.918367347
mio_cola;1562633520;-8420769.489795918
mio_cola;1562636460;-8420773.255319148
mio_cola;1562639400;-8420778.367346939
mio_cola;1562642340;-8420778.104166666
mio_cola;1562645280;-8420782.102040816
mio_cola;1562648220;-8420783.836734693
mio_cola;1562651160;-8420784.081632653
mio_cola;1562654100;-8420786.979591837
mio_cola;1562657040;-8420794.693877552
mio_cola;1562659980;-8420794.224489795
mio_cola;1562662920;-8420791.81632653
mio_cola;1562665860;-8420790.604166666
mio_cola;1562668800;-8420805.897959184
mio_cola;1562671740;-8420790.551020408
mio_cola;1562674680;-8420763.1875
mio_cola;1562677620;-8420765.775510205
mio_cola;1562680560;-8420779.632653061
mio_cola;1562683500;-8420795.574468086
mio_cola;1562686440;-8420814.695652174
mio_cola;1562689380;-8420744.489361702
mio_cola;1562692320;-8420869.541666666
mio_cola;1562695260;-8420827.659574468
mio_cola;1562698200;-8420826.217391305
mio_cola;1562701140;-8420768.5
mio_cola;1562704080;-8420728.695652174
mio_cola;1562707020;-8420702.770833334
mio_cola;1562709960;-8420791.693877552
mio_cola;1562712900;-8420809.775510205
mio_cola;1562715840;-8420827.265306123
mio_cola;1562718780;-8420800.25
mio_cola;1562721720;-8420803.632653061
mio_cola;1562724660;-8420803.4375
mio_cola;1562727600;-8420820.040816326
mio_cola;1562730540;-8420821.35135135
mio_cola;1562733480;None
mio_cola;1562736420;None
mio_cola;1562739360;None
mio_cola;1562742300;None
mio_cola;1562745240;None
mio_cola;1562748180;None
mio_cola;1562751120;None
mio_cola;1562754060;None
mio_cola;1562757000;None
mio_cola;1562759940;None
mio_cola;1562762880;-8420896.592592593
mio_cola;1562765820;-8420888.448979592
mio_cola;1562768760;-8420856.877551021
mio_cola;1562771700;-8420829.666666666
mio_cola;1562774640;-8420795.775510205
mio_cola;1562777580;-8420711.714285715
mio_cola;1562780520;-8420717.836734693
mio_cola;1562783460;-8420642.142857144
mio_cola;1562786400;-8420628.530612245
mio_cola;1562789340;-8420643.0
mio_cola;1562792280;-8420658.142857144
mio_cola;1562795220;-8420672.285714285
mio_cola;1562798160;-8420697.1875
mio_cola;1562801100;-8420717.346938776
mio_cola;1562804040;-8420740.408163264
mio_cola;1562806980;-8420769.836734693
mio_cola;1562809920;-8420791.18367347
mio_cola;1562812860;-8420806.265306123
mio_cola;1562815800;-8420820.57142857
mio_cola;1562818740;-8420829.102040816
mio_cola;1562821680;-8420829.895833334
mio_cola;1562824620;-8420842.673469387
mio_cola;1562827560;-8420854.270833334
mio_cola;1562830500;-8420861.775510205
mio_cola;1562833440;-8420877.285714285
mio_cola;1562836380;-8420875.510204082
mio_cola;1562839320;-8420873.020408163
mio_cola;1562842260;-8420872.75
mio_cola;1562845200;-8420873.326530613
mio_cola;1562848140;-8420874.836734693
mio_cola;1562851080;-8420880.75510204
mio_cola;1562854020;-8420883.510204082
mio_cola;1562856960;-8420886.204081632
mio_cola;1562859900;-8420880.93877551
mio_cola;1562862840;-8420882.489795918
mio_cola;1562865780;-8420877.875
mio_cola;1562868720;-8420879.42857143
mio_cola;1562871660;-8420888.346938776
mio_cola;1562874600;-8420898.75510204
mio_cola;1562877540;-8420899.489795918
mio_cola;1562880480;-8420893.857142856
mio_cola;1562883420;-8420897.265306123
mio_cola;1562886360;-8420893.632653061
mio_cola;1562889300;-8420894.918367347
mio_cola;1562892240;-8420893.510204082
mio_cola;1562895180;-8420890.734693877
mio_cola;1562898120;-8420893.604166666
mio_cola;1562901060;-8420887.469387755
mio_cola;1562904000;-8420879.18367347
mio_cola;1562906940;-8420883.979591837
mio_cola;1562909880;-8420878.102040816
mio_cola;1562912820;-8420872.895833334
mio_cola;1562915760;-8420999.085714286
mio_cola;1562918700;-8421053.75609756
mio_cola;1562921640;-8421175.163265307
mio_cola;1562924580;-8421216.5
mio_cola;1562927520;-8421252.18367347
mio_cola;1562930460;-8421273.673469387
