name;count
apfelschorle;5
grapefruit_sprudel;2
mineralwasser;4
becks;4
eschweger;4
jacobinus;4
jever;4
jever_fun;3
koestritzer;3
radler;4
mio_guarana;3
mio_cola;7
mio_ginger;7
mio_mate;9
